source,question,answer/countries,"UE28
EU28",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_459_volume_A.xls,most_serious_problem,TOTAL,27901.0,1023.0,1044.0,1058.0,1000.0,1022.0,1537.0,515.0,1017.0,1021.0,1010.0,1024.0,1004.0,1048.0,1022.0,501.0,1004.0,1001.0,510.0,1053.0,500.0,1015.0,1001.0,1008.0,1061.0,1033.0,1027.0,1014.0,1012.0,1007.0,1346.0
special_eb_459_volume_A.xls,most_serious_problem,Le changement climatique,3442.0,177.0,70.0,60.0,287.0,142.0,212.0,69.0,91.0,130.0,40.0,131.0,138.0,84.0,70.0,42.0,93.0,80.0,63.0,103.0,63.0,271.0,158.0,65.0,41.0,91.0,117.0,81.0,200.0,377.0,190.0
special_eb_459_volume_A.xls,most_serious_problem,Climate change,0.12,0.17,0.07,0.06,0.29,0.14,0.14,0.14,0.09,0.13,0.04,0.13,0.14,0.08,0.07,0.08,0.09,0.08,0.12,0.1,0.13,0.27,0.16,0.06,0.04,0.09,0.11,0.08,0.2,0.38,0.14
special_eb_459_volume_A.xls,most_serious_problem,Le terrorisme international,6578.0,234.0,303.0,413.0,202.0,207.0,318.0,115.0,332.0,233.0,111.0,148.0,245.0,234.0,329.0,102.0,198.0,223.0,109.0,212.0,221.0,169.0,168.0,305.0,318.0,209.0,222.0,235.0,186.0,140.0,343.0
special_eb_459_volume_A.xls,most_serious_problem,International terrorism,0.24,0.23,0.29,0.39,0.2,0.2,0.21,0.22,0.32,0.23,0.11,0.14,0.24,0.22,0.32,0.2,0.2,0.22,0.21,0.2,0.44,0.17,0.17,0.3,0.3,0.2,0.22,0.23,0.18,0.14,0.25
special_eb_459_volume_A.xls,most_serious_problem,"La pauvreté, la faim et le manque d'eau potable",7946.0,288.0,282.0,197.0,214.0,337.0,494.0,150.0,171.0,343.0,354.0,408.0,371.0,357.0,176.0,180.0,199.0,241.0,191.0,365.0,113.0,301.0,258.0,156.0,362.0,270.0,360.0,308.0,270.0,232.0,356.0
special_eb_459_volume_A.xls,most_serious_problem,"Poverty, hunger and lack of drinking water",0.28,0.28,0.27,0.19,0.21,0.33,0.32,0.29,0.17,0.34,0.35,0.4,0.37,0.34,0.17,0.36,0.2,0.24,0.38,0.35,0.22,0.3,0.26,0.16,0.34,0.26,0.35,0.31,0.27,0.23,0.26
special_eb_459_volume_A.xls,most_serious_problem,La propagation de maladies infectieuses,875.0,23.0,37.0,47.0,13.0,18.0,26.0,7.0,18.0,46.0,23.0,18.0,25.0,35.0,47.0,22.0,67.0,53.0,11.0,94.0,29.0,7.0,37.0,38.0,27.0,92.0,21.0,36.0,34.0,13.0,39.0
special_eb_459_volume_A.xls,most_serious_problem,Spread of infectious diseases,0.03,0.02,0.04,0.04,0.01,0.02,0.02,0.01,0.02,0.05,0.02,0.02,0.03,0.03,0.05,0.05,0.07,0.05,0.02,0.09,0.06,0.01,0.04,0.04,0.03,0.09,0.02,0.04,0.03,0.01,0.03
special_eb_459_volume_A.xls,most_serious_problem,La situation économique,2504.0,78.0,98.0,74.0,23.0,28.0,41.0,11.0,50.0,116.0,359.0,186.0,43.0,140.0,215.0,83.0,92.0,114.0,21.0,60.0,10.0,15.0,114.0,45.0,130.0,143.0,103.0,84.0,27.0,23.0,49.0
special_eb_459_volume_A.xls,most_serious_problem,The economic situation,0.09,0.08,0.09,0.07,0.02,0.03,0.02,0.02,0.05,0.11,0.36,0.18,0.04,0.13,0.21,0.17,0.09,0.12,0.04,0.06,0.02,0.01,0.11,0.04,0.12,0.14,0.1,0.08,0.03,0.02,0.04
special_eb_459_volume_A.xls,most_serious_problem,La prolifération d'armes nucléaires,1573.0,43.0,70.0,92.0,44.0,69.0,95.0,21.0,37.0,39.0,36.0,26.0,46.0,51.0,56.0,25.0,77.0,102.0,34.0,44.0,21.0,14.0,51.0,130.0,48.0,48.0,51.0,61.0,80.0,39.0,79.0
special_eb_459_volume_A.xls,most_serious_problem,Proliferation of nuclear weapons,0.06,0.04,0.07,0.09,0.04,0.07,0.06,0.04,0.04,0.04,0.03,0.03,0.05,0.05,0.06,0.05,0.08,0.1,0.07,0.04,0.04,0.01,0.05,0.13,0.04,0.05,0.05,0.06,0.08,0.04,0.06
special_eb_459_volume_A.xls,most_serious_problem,Les conflits armés,2559.0,73.0,113.0,113.0,86.0,106.0,186.0,97.0,180.0,62.0,47.0,66.0,66.0,107.0,65.0,40.0,197.0,145.0,40.0,71.0,19.0,83.0,100.0,186.0,75.0,90.0,80.0,134.0,108.0,97.0,104.0
special_eb_459_volume_A.xls,most_serious_problem,Armed conflicts,0.09,0.07,0.11,0.11,0.09,0.1,0.12,0.19,0.18,0.06,0.05,0.06,0.07,0.1,0.06,0.08,0.19,0.15,0.08,0.07,0.04,0.08,0.1,0.18,0.07,0.09,0.08,0.13,0.11,0.1,0.08
special_eb_459_volume_A.xls,most_serious_problem,L'augmentation de la population mondiale,1700.0,86.0,32.0,55.0,107.0,94.0,135.0,37.0,95.0,35.0,23.0,17.0,61.0,26.0,35.0,6.0,61.0,30.0,27.0,91.0,14.0,144.0,95.0,30.0,18.0,60.0,47.0,42.0,95.0,69.0,122.0
special_eb_459_volume_A.xls,most_serious_problem,The increasing global population,0.06,0.09,0.03,0.05,0.11,0.09,0.09,0.07,0.09,0.03,0.02,0.02,0.06,0.03,0.03,0.01,0.06,0.03,0.05,0.08,0.03,0.14,0.09,0.03,0.02,0.06,0.05,0.04,0.09,0.07,0.09
special_eb_459_volume_A.xls,most_serious_problem,Autre (SPONTANE),238.0,22.0,6.0,4.0,10.0,10.0,13.0,2.0,21.0,2.0,16.0,8.0,4.0,4.0,9.0,1.0,11.0,3.0,8.0,1.0,9.0,8.0,18.0,8.0,28.0,16.0,16.0,9.0,7.0,13.0,8.0
