source,question,answer/countries,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_372_volume_A.xls,most_serious_problem,TOTAL,26840.0,1025.0,1002.0,1019.0,1012.0,1002.0,1572.0,570.0,1001.0,1016.0,1000.0,1004.0,1068.0,1044.0,504.0,1019.0,1026.0,507.0,1004.0,500.0,1001.0,1005.0,1000.0,1048.0,1075.0,1019.0,1000.0,1008.0,1019.0,1342.0
special_eb_372_volume_A.xls,most_serious_problem,Le changement climatique,5257.0,241.0,154.0,165.0,313.0,248.0,396.0,153.0,138.0,127.0,148.0,238.0,211.0,152.0,119.0,227.0,218.0,170.0,140.0,148.0,176.0,190.0,199.0,77.0,168.0,254.0,184.0,187.0,303.0,241.0
special_eb_372_volume_A.xls,most_serious_problem,Climate change,0.2,0.24,0.15,0.16,0.31,0.25,0.25,0.27,0.14,0.13,0.15,0.24,0.2,0.15,0.23,0.22,0.21,0.34,0.14,0.3,0.18,0.19,0.2,0.07,0.16,0.25,0.18,0.19,0.3,0.18
special_eb_372_volume_A.xls,most_serious_problem,La disponibilité de l’énergie,1962.0,84.0,19.0,76.0,40.0,128.0,179.0,37.0,65.0,45.0,28.0,16.0,46.0,151.0,8.0,47.0,55.0,35.0,83.0,46.0,71.0,68.0,73.0,8.0,19.0,28.0,55.0,55.0,47.0,107.0
special_eb_372_volume_A.xls,most_serious_problem,Availability of energy,0.07,0.08,0.02,0.07,0.04,0.13,0.11,0.06,0.06,0.05,0.03,0.02,0.04,0.14,0.02,0.05,0.05,0.07,0.08,0.09,0.07,0.07,0.07,0.01,0.02,0.03,0.06,0.05,0.05,0.08
special_eb_372_volume_A.xls,most_serious_problem,Le terrorisme international ,2861.0,74.0,171.0,151.0,114.0,98.0,151.0,52.0,150.0,75.0,27.0,61.0,110.0,161.0,15.0,75.0,75.0,25.0,35.0,53.0,68.0,59.0,128.0,98.0,56.0,59.0,136.0,100.0,40.0,219.0
special_eb_372_volume_A.xls,most_serious_problem,International terrorism,0.11,0.07,0.17,0.15,0.11,0.1,0.1,0.09,0.15,0.07,0.03,0.06,0.1,0.15,0.03,0.07,0.07,0.05,0.03,0.1,0.07,0.06,0.13,0.09,0.05,0.06,0.14,0.1,0.04,0.16
special_eb_372_volume_A.xls,most_serious_problem,"La pauvreté, la faim et le manque d’eau potable",7490.0,296.0,257.0,201.0,257.0,282.0,438.0,154.0,228.0,293.0,350.0,301.0,470.0,173.0,142.0,254.0,210.0,152.0,367.0,104.0,312.0,252.0,213.0,461.0,383.0,307.0,263.0,281.0,348.0,271.0
special_eb_372_volume_A.xls,most_serious_problem,"Poverty, hunger and lack of drinking water",0.28,0.29,0.26,0.2,0.26,0.28,0.28,0.27,0.23,0.29,0.35,0.3,0.44,0.17,0.28,0.25,0.21,0.3,0.37,0.21,0.31,0.25,0.21,0.44,0.36,0.3,0.26,0.28,0.34,0.2
special_eb_372_volume_A.xls,most_serious_problem,La propagation de maladies infectieuses,1080.0,36.0,42.0,85.0,11.0,53.0,77.0,21.0,57.0,53.0,15.0,17.0,24.0,49.0,31.0,75.0,78.0,14.0,50.0,38.0,47.0,64.0,64.0,49.0,50.0,50.0,90.0,67.0,32.0,29.0
special_eb_372_volume_A.xls,most_serious_problem,Spread of infectious diseases,0.04,0.03,0.04,0.08,0.01,0.05,0.05,0.04,0.06,0.05,0.01,0.02,0.02,0.05,0.06,0.08,0.08,0.03,0.05,0.08,0.05,0.06,0.07,0.05,0.05,0.05,0.09,0.07,0.03,0.02
special_eb_372_volume_A.xls,most_serious_problem,La situation économique,4181.0,87.0,192.0,214.0,125.0,43.0,90.0,64.0,123.0,289.0,358.0,291.0,87.0,248.0,143.0,202.0,252.0,23.0,228.0,60.0,65.0,152.0,101.0,264.0,306.0,202.0,190.0,60.0,36.0,168.0
special_eb_372_volume_A.xls,most_serious_problem,Economic situation,0.16,0.08,0.19,0.21,0.12,0.04,0.06,0.11,0.12,0.28,0.36,0.29,0.08,0.24,0.28,0.2,0.25,0.04,0.23,0.12,0.06,0.15,0.1,0.25,0.28,0.2,0.19,0.06,0.03,0.13
special_eb_372_volume_A.xls,most_serious_problem,La prolifération d’armes nucléaires,858.0,45.0,56.0,26.0,21.0,34.0,53.0,19.0,53.0,24.0,26.0,30.0,21.0,33.0,20.0,43.0,40.0,19.0,21.0,24.0,26.0,31.0,70.0,17.0,16.0,36.0,13.0,74.0,22.0,37.0
